Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
148	KA06MH0150	New Tank Amachawadi	Karnataka Water Resources Department	11.85027778	76.90333333	1984	Cauvery	Yennehole Stream	chamaraja nagar	II	Earthfill_Embankment	15.29	540	4090	169000000	570000	1560000	I	206.60
16	KA06MH0018	Mavinahole Tank	Karnataka Water Resources Department	13.96694444	75.93666667	1928	Krishna	Local Halla	Channagiri	II	Earthfill_Embankment	20.11	585	461450	1840000	402000	1540000	I	1586
14	KA06HH0016	Madagamasur Tank	Karnataka Water Resources Department	14.35055556	75.41666667	1908	Krishna	Local	Ranebennur	II	Earthfill_Embankment	32.87	950		1595000		1529000	I	
82	KA06MH0084	Medipally Tank	Karnataka Water Resources Department	18.18	77.52333333	1971	Godavari	Local	aurad	II	Earthfill_Embankment	22.03	487	106120	1591000	346200	1517000	I	44.40
172	KA06LH0175	Aheri-jumbagi	Karnataka Water Resources Department	16.89555556	75.91555556	1989	Krishna	Aheri-jumbagi	Bijapur.	II	Other	10.59	1018	64000	1799000	670000	1501910	I	306
52	KA06LH0054	Krishyal Tank	Karnataka Water Resources Department	16.41611111	75.93083333	1964	Krishna	Krishyal	Basavana Bagevadi	II	Other	10.91	730	71290	1618000	704800	1458650	I	85.83
119	KA06LH0121	Mukherthihal Tank	Karnataka Water Resources Department	16.46888889	75.915	1979	Krishna	Mukherthihal	Basavana Bagevadi	II	Other	10.41	852	73460	1454000	570200	1445600	I	130.63
79	KA06MH0081	Murakumbi Tank	Karnataka Water Resources Department	15.85861111	74.87722222	1970	Krishna	CHELLA HALLA	parasgad	II	Earthfill_Embankment	16.94	726	57400	1456000	453200	1435000	I	226.50
66	KA06LH0068	Hanajagi Tank	Karnataka Water Resources Department	17.1325	75.88722222	1968	Krishna	Hanajagi	indi	II	Other	12.81	785	71060	1500000	700000	1415800	I	170
42	KA06LH0044	Babaleshwara Tank	Karnataka Water Resources Department	16.99027778	76.24833333	1961	Krishna	sindi halla	Sindagi	II	Earthfill_Embankment	12.11	975	91140	1905000	7288000	1362800	I	681.86
59	KA06LH0061	Tadavalga Tank	Karnataka Water Resources Department	17.06805556	75.91527778	1965	Krishna	Tadavalga Nala	indi	II	Other	11.02	1070	83240	1840400	708000	1323700	I	311.48
134	KA06LH0136	Kuvalgi Aheri	Karnataka Water Resources Department	16.8475	75.88361111	1981	Krishna	Kuvalgi Aheri	Bijapur.	II	Other	13.55	518	42100	1439000	532800	1296600	I	35.32
78	KA06MH0080	Mangalore Tank	Karnataka Water Resources Department	15.91277778	75.77	1970	Krishna	Mangalore	padami	II	Other	16.38	124	42650	1591100	331000	1288000	I	103.47
183	KA06LH0186	Yallammavadi Tank	Karnataka Water Resources Department	16.70138889	75.24583333	1990	Krishna	Local Nala Krishna Malaprabha Sub Basin	Athani	III	Earthfill_Embankment	10.3	775	71860	1479610	710000	1286520	I	210
43	KA06MH0045	Jawahar Dam	Karnataka Water Resources Department	16.39888889	74.36277778	1961	Krishna	Shiruguppi	chikodi	III	Other	21.64	676.16	221320	1840000	400000	1270000	S	291.62
124	KA06MH0126	Arbenchi Tank	Karnataka Water Resources Department	16.01138889	75.29	1980	Krishna	Arbenchi Nala	Ramadurga	II	Earthfill_Embankment	17.65	312	169580	1570000	203000	1270000	I	116
125	KA06LH0127	Devaramardikere	Karnataka Water Resources Department	13.67805556	76.63611111	1980	Krishna	Suvarnamuki	C.N.Halli	II	Earthfill_Embankment	10.67	407	170000	1410000	745000	1270000	I	143.16
50	KA06LH0052	Basavapattana	Karnataka Water Resources Department	16.17305556	75.32916667	1964	Krishna	Basavapattana	mudhol	II	Other	14.16	90	18290	1373400	458000	1263400	I	241.96
90	KA06LH0092	Hanchinal Tank	Karnataka Water Resources Department	16.86833333	75.73888889	1973	Krishna	Hanchinal	Bijapur.	II	Other	11.05	655	46280	1586600	629700	1245900	I	133.09
54	KA06LH0056	Sulkod Tank	Karnataka Water Resources Department	16.4425	75.80138889	1964	Krishna	Sulkod Nala	Basavana Bagevadi	II	Other	10.9	762.2	69810	1341300	577100	1220000	I	576.83
121	KA06LH0123	Ronihal Tank	Karnataka Water Resources Department	16.53722222	75.71388889	1979	Krishna	Ronihalla	Basavana Bagevadi	II	Other	13.02	689	61380	1353380	486000	1218500	I	248.25
62	KA06LH0064	Hirekop Tank	Karnataka Water Resources Department	15.86444444	74.90333333	1966	Krishna	Local Nala	parasgad	II	Earthfill_Embankment	12.39	785.4	65370	1465180	429300	1197000	I	305.78
70	KA06MH0072	Aigali Tank	Karnataka Water Resources Department	16.78055556	75.29527778	1969	Krishna	Hirehalla	Athani	III	Earthfill_Embankment	15.66	526.5	120990	1443370	436000	1192000	I	587
73	KA06LH0075	Yarazarvi Tank	Karnataka Water Resources Department	15.95555556	74.95527778	1969	Krishna	Local Nala	parasgad	II	Earthfill_Embankment	12.16	699	61240	1338900	415000	1164520	I	231
100	KA06LH0102	Haludyamanahalli Tank	Karnataka Water Resources Department	13.85166667	76.52416667	1975	Krishna	Kattehole	Hiriyur	II	Earthfill_Embankment	13.7	690	70350	1380000	474000	1140000	I	123
77	KA06LH0079	Kadatnal Tank	Karnataka Water Resources Department	15.67861111	74.79055556	1970	Krishna	kothagi nalla	sampgaon	II	Earthfill_Embankment	13.75	470	118680	1289350	539600	1120000	I	234
83	KA06MH0085	Ambadaga Tank	Karnataka Water Resources Department	15.35527778	74.69583333	1972	West Flowing Rivers from Tapi to Tadri	Tatti halla	haliyal	II	Earthfill_Embankment	18.3	185.9	70000	1190000	254000	1110000	I	23.34
185	KA06MH0188	Bhairapur Tank	Karnataka Water Resources Department	16.30972222	74.3775	1991	Krishna	Local Nala Krishna Malaprabha Sub Basin	hukari	III	Earthfill_Embankment	15.3	600.5	264250	1170000	310000	1110000	I	74.49
63	KA06LH0065	Hokarani Tank	Karnataka Water Resources Department	16.35361111	76.20555556	1966	Krishna	Hokarani	muddibhal	II	Other	11.72	755	76320	1184900	482700	1108000	I	126.01
104	KA06LH0106	Ramapura Tank	Karnataka Water Resources Department	15.51527778	74.69777778	1976	West Flowing Rivers from Tapi to Tadri	Local Nala	Khanapur	II	Earthfill_Embankment	14	345	38260	1203570	283500	1050000	I	45
175	KA06LH0178	Bidi Tank	Karnataka Water Resources Department	15.585	74.64138889	1989	Krishna	Local Nala Krishna Malaprabha Sub Basin	Khanapur	II	Earthfill_Embankment	11.67	580	58280	1212910	320000	1050000	I	41.78
84	KA06LH0086	Bellikindi Tank	Karnataka Water Resources Department	16.01055556	75.44083333	1972	Krishna	Bellikindi	badami	II	Other	11.91	457	43550	1075100	425700	989000	I	107.38
107	KA06LH0109	Hanamapur Tank	Karnataka Water Resources Department	16.09638889	74.88111111	1978	Krishna	Local Nala	Gokak	II	Earthfill_Embankment	14.33	375.75	18820	1118350	527600	972540	I	102.46
173	KA06MH0176	Alagapura Tank	Karnataka Water Resources Department	12.17083333	77.34166667	1989	Cauvery	Cauvery	Mysore	II	Earthfill_Embankment	16.85	645	754330	105000000	270000	940000	I	46.60
58	KA06LH0060	Kadatana Begewadi Tank	Karnataka Water Resources Department	15.60611111	74.64194444	1965	Krishna	banki halla	Khanapur	II	Earthfill_Embankment	13.55	594.5	42400	1041900	344000	910000	I	69.37
117	KA06MH0119	Itagi Tank	Karnataka Water Resources Department	15.65472222	74.67944444	1979	Krishna	Malaprabha	Khanapur	II	Earthfill_Embankment	15.25	757	93680	991510	204000	862120	I	11
159	KA06MH0162	Dinshi Tank	Karnataka Water Resources Department	17.59444444	77.03388889	1986	Krishna	Dinshi Nala	Gulbarga	II	Earthfill_Embankment	17.1	360	74949.00	930700	180000	835700	I	40
212	KA06LH0215	Vishnusamudra Tank	Karnataka Water Resources Department	13.46638889	76.13888889		Krishna	Veda series	Kadur	II	Earthfill_Embankment	12.8	1740	36000	853000	554000	817000	I	12.82
132	KA06MH0134	Chikkanagaon Tank	Karnataka Water Resources Department	17.67861111	76.93527778	1981	Krishna	Local Mullamari K-6	Basava Kalyan	II	Earthfill_Embankment	15.95	365	92980000	871000	216500	784000	I	28
76	KA06LH0078	Ghastoli Tank	Karnataka Water Resources Department	15.52611111	74.68388889	1970	West Flowing Rivers from Tapi to Tadri	Local Nala	Khanapur	II	Earthfill_Embankment	14.5	486	70300	8663600	259000	750000	I	71
95	KA06MH0097	Honkon Tank	Karnataka Water Resources Department	14.90083333	74.19194444	1974	West Flowing Rivers from Tapi to Tadri	Kali	Karwar	III	Earthfill_Embankment	18.6	170.8	51000	810510	230000	730830	I	10.85
213	KA06LH0216	Y.Urumundinakere Tank	Karnataka Water Resources Department	13.56777778	76.11611111		Krishna	Veda series	Kadur	II	Earthfill_Embankment	10	1930	20000	728000	675000	708000	I	538
88	KA06MH0090	Bavalgaon Tank	Karnataka Water Resources Department	18.41722222	77.34777778	1973	Godavari	Local	aurad	II	Earthfill_Embankment	22.39	389	90330	825000	340000	675000	I/F	46.58
30	KA06LH0032	Boodikere Tank	Karnataka Water Resources Department	14.03805556	75.59722222	1950	Krishna	Local Halla	Shimoga	II	Earthfill_Embankment	12	540	141900	1490000	329000	650000	I	85.81
31	KA06MH0033	Bullapura Tank	Karnataka Water Resources Department	14.38277778	75.59472222	1952	Krishna	Kumadavati River	Hirekerur	II	Earthfill_Embankment	18	114.6	18620	706200	80100	642000	I	21.70
177	KA06LH0180	Hebbal Tank	Karnataka Water Resources Department	15.58805556	74.5625	1989	Krishna	Local Nala Krishna Malaprabha Sub Basin	Khanapur	II	Earthfill_Embankment	12.64	530	56900	638730	133200	550000	I/S	14.46
210	KA06MH0213	Kowlihalla Tank	Karnataka Water Resources Department	11.94083333	77.24527778		Cauvery	Cauvery Basin	Kollegal	II	Earthfill_Embankment	18.5	393	710000	550000	60000	490000	I	36.90
187	KA06LH0190	Kadasagatti Tank	Karnataka Water Resources Department	15.63972222	74.87222222	1991	Krishna	Local Nala	Bailhongala	II	Earthfill_Embankment				339180	355000	290000	I	65.62
86	KA06MH0088	Karimuddenahalli Tank	Karnataka Water Resources Department	12.19888889	76.36583333	1972	Cauvery	Lakshman Theertha	Hunsur	II	Earthfill_Embankment	18.32	422.25	36000	180100	124860	179380	I	309
6	KA06LH0006	Hesaraghatta Reservoir	Karnataka Water Resources Department	13.14222222	77.48888889	1896	Cauvery	Arkavathy	Bangalore	II	Earthfill_Embankment	14.78	1560	0	29591000		114400	S	274.67
142	KA06LH0144	Aralihalli Tank	Karnataka Water Resources Department	14.94415833	75.80427222	1983	Krishna	Krishna	huvvinahada galli	II	Earthfill_Embankment	11.86	1920	29057000	20954.4467318	1395900	8495.04597236	I	192.5
144	KA06LH0146	Kyragunda Saddle	Karnataka Water Resources Department	13.74583333	75.00861111	1983	West Flowing Rivers from Tadri to Kanyakumari	Savehaklu	hosanagara	III	Earthfill_Embankment	14.5	800	210000	121760000		68	H	141.00
98	KA06MH0100	Musthrahally Tank	Karnataka Water Resources Department	12.81138889	78.24777778	1974	East flowing rivers between Pennar and Cauvery Basin	Naihole	bangarapet	II	Earthfill_Embankment	22.70	197	86540000				I	941.58
