Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
91	KA06MH0093	Hattikuni Dam	Karnataka Water Resources Department	16.87771111	77.17035833	1973	Krishna	Hattikuni	Yadgir	II	Earthfill_Embankment	22.88	923	399600	9970000	1220000	7930000	I	376.83
38	KA06MH0040	Ramanahalli tank	Karnataka Water Resources Department	16.9975	76.13722222	1958	Krishna	navalli nalla	Sindagi	II	Earthfill_Embankment	16.5	1619	830370	14469000	4620000	7787000	I	2377
164	KA06MH0167	Soudagar Dam	Karnataka Water Resources Department	16.88444444	77.14361111	1987	Krishna	Soudagar Nala	Yadgir	II	Earthfill_Embankment	27.03	600	840578.94	8120000	965000	7410000	I	217.31
75	KA06MH0077	Gandabommanahalli Tank	Karnataka Water Resources Department	14.77277778	76.58833333	1970	Krishna	Krishna T.Bhadra	Kudligi	II	Earthfill_Embankment	23.15	1397.5	427736	7315000	1780000	7315000	I	418.52
36	KA06MH0038	Areshankar	Karnataka Water Resources Department	16.41111111	76.01861111	1957	Krishna	Areshankar	Basavana Bagevadi	II	Other	19.2	1189	129320	8586450	2250000	7218700	I	1036.39
120	KA06MH0122	Prakruthi Tank	Karnataka Water Resources Department	14.91833333	76.72388889	1979	Krishna	Gundirehalla	Molakalmuru	II	Earthfill_Embankment	16.17	840	453800	8690000	1602600	7180000	I	379.55
5	KA06LH0005	Maidal Amanikere Tank	Karnataka Water Resources Department	13.30972222	77.18777778	1895	Cauvery	Agasarahalli nala	Tumkur	II	Earthfill_Embankment	13.8	810	147650	7400000	2137510	6970000	I	208.80
67	KA06HH0069	Jambadahalla Dam	Karnataka Water Resources Department	13.68111111	75.75583333	1968	Krishna	Jambadahalla	Tarikere	II	Earthfill_Embankment	31.7	838.1	800000	9684352.4084871	1640000	6909304.0575171	I	467.2
41	KA06MH0043	Kalasakoppa Tank	Karnataka Water Resources Department	16.14138889	75.50666667	1960	Krishna	Kalasakoppa	Bagalkot	II	Other	15.8	585	96870	6820300	2700000	6481200	I	237.86
160	KA06MH0163	Theetha Dam	Karnataka Water Resources Department	13.46833333	77.29166667	1986	Pennar	Jayamangali	Koratagere	II	Other	22.00	1017	20000.00	6853000	1530000	6287000	I	590
4	KA06MH0004	Boranakanive Tank	Karnataka Water Resources Department	13.60138889	76.635	1892	Krishna	Suvarnamuki SS VI	C.N.Halli	II	Other	24	39.6	2440000	6425000	13466000	6181000	I	941.58
27	KA06MH0029	Nelligudda Tank	Karnataka Water Resources Department	12.81083333	77.37833333	1940	Cauvery	Bidadi Halla	Ramanagara	II	Composite_Concrete_and_Masonry	17.07	740	362600	6570000		6130000	I	117.4
217	KA06LH0222	Lakshmisagar Tank	Karnataka Water Resources Department	13.77083333	76.81444444		Krishna	Suvarnamuki	Sira	II	Earthfill_Embankment	10.5	960	600000	6700000	2060000	6090000	I	400.71
220	KA06LH0225	Ramalingapura Tank	Karnataka Water Resources Department	13.62138889	76.77416667		Krishna	Suvarnamuki	Sira	II	Earthfill_Embankment	12	830	700000	6740000	2192000	6070000	I	114.19
