Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
100	MH09VH0100	KOYNA	17.40194444	73.75222222	1964	Krishna	Koyna.	Patan.	IV	Composite_Concrete_and_Masonry	103.02	807.72	1555000	2980680000	119688100	2835540000	I/H	5082
590	MH09HH0597	JAYAKWADI	19.48575	75.36888889	1976	Godavari	Godavari.	Paithan	II	Earthfill_Embankment	41.30	10415	13410000	2909000000	3500000000	2170930000	I/H	18153
833	MH09HH0843	UJJANI	18.07472222	75.12111111	1980	Krishna	Bhima	Madha.	III	Other	56.40	3141.4	3320000	3320010000	290000000	1517200000	I/S	18010.00
1216	MH09HH1229	TOTLADOH	21.65888889	79.23194444	1989	Godavari	Pench	Ramtek	II	Earthfill_Embankment	74.5	3061	972000	1166930000	77710000	1016930000	H	12072
936	MH09HH0947	ISAPUR	19.7175	77.42555556	1982	Godavari	Penganga	Pusad	II	Other	48	4088.5	117000	1279000000	96270000	964000000	I	10480
999	MH09HH1011	BHATSA	19.51305556	73.4175	1983	West Flowing Rivers from Tapi to Tadri	Bhatsa and Chorna	Shahapur	III	Other	88.5	959	18250000	976100000	27250000	942100000	I	5342
2188	MH09HH2227	Lower Penganga	19.74194444	77.86805556		Godavari	Penganga	Ghatanji	II	Earthfill_Embankment	35.63	1998	975340	1045370000	159510000	864800000		34768.69
1693	MH09LH1710	ARLI	17.86472222	76.12666667	1990	Krishna	Local Nala	Tuljapur	III	Earthfill_Embankment	12.35	771.00	83870	888000000	360000	815000000	I	132.00
170	MH09HH0171	YELDARI	19.71972222	76.73194444	1968	Godavari	Purna	Jintur	II	Earthfill_Embankment	51.2	4432	596060	934440000	101540000	809770000	I/H	10477.13
651	MH09MH0658	YEDGAON	19.17277778	74.01944444	1977	Krishna	Kukadi	Junnar	III	Other	24.6	4470	1004000	934320000	14980000	792760000	I	3844.00
1528	MH09HH1542	WARANA	19.51472222	76.66777778	2000	Krishna	Warna river	Shahuwadi	IV	Composite_Concrete_and_Earth_fill	88.80	1580.00	21219000	974188000	2889000	779348000	I/H/S	3222
1782	MH09MH1817	GOSI (KD)	20.87472222	79.60861111		Godavari	Wainganga	Bhivapur	II	Composite_Concrete_and_Earth_fill	22.5	11356		1146075000	222580000	740168000	I/H/S/D	67373
1213	MH09HH1226	DUDHAGANGA	21.65833333	79.29416667	1999	Krishna	Dudhaganga	Radhanagari	III	Other	75	1280	150000	719120000	25360000	679110000	I/H	2247
48	MH09HH0048	BHATGHAR	18.175	73.86666667	1927	Krishna	Local Nala	Bhor	III	Masonry_Gravity	57.92	1625	650000	672650000	31900000	665570000	I/H	2285
1306	MH09HH1319	UPPER WARDHA	21.27472222	78.05944444	1993	Godavari	Wardha.	Morshi	II	Other	39.9	5920	6500000	678270000	93122000	564050000	I/S/C	13317
13	MH09HH0013	KHADAKWASLA	18.4425	73.76305556	1880	Krishna	Mutha.	Haveli	III	Other	32.9	1539	1170000	860000000	14800000	559100000	I	2775
195	MH09HH0196	GIRNA	18.97527778	76.40666667	1969	Tapi	Girna	Malegaon	III	Other	54.56	963.17	2042000	608450000	55520000	523550000	I/H	8433
49	MH09HH0049	MULSHI	18.52555556	73.50944444	1927	Krishna	Mula	Mulshi	III	Other	48.8	1533.38	618000	752760000	248000	522760000	I/H	1892
934	MH09HH0945	TILLARI (PROJ.)	15.76	74.09055556	1982	West Flowing Rivers from Tapi to Tadri	Tilari	Dodamarg	III	Other	72.50	1313.5	9274000	462170000	17638000	447369000	I/H	7270.00
1757	MH09MH1788	LOWER TAPI	21.18805556	75.00138889		Tapi	Tapi	Amalner	III	Other	29	1876.5	303720	420560000	53890000	407594000	I/S	50881
1821	MH09HH1860	Kalu River Major Project	19.34111111	73.58166667		Krishna	Kalu	Parner	III	Earthfill_Embankment	40.08	2350	5560000	414100000	25700000	401240000		1648
586	MH09HH0592	VIR BAJI PASALKAR	18.38777778	73.61222222	1993	Krishna	mose	Haveli	III	Other	66.60	780	10550000	375360000	24200000	363130000	I/H	1471
1544	MH09HH1558	DIMBHE	19.09666667	73.74416667	2000	Krishna	Ghod River	Ambegon	III	Other	72.1	852	1151230	382050000	17547700	353750000	I/H	2122.0
1826	MH09HH1865	Shai River Major Project	19.39222222	73.67194444		West Flowing Rivers from Tapi to Tadri	Shai	Shahapur	III	Earthfill_Embankment	53.60	730	4993000	372156000	30118000	353410000		6977
43	MH09HH0043	THOKARWADI	18.86611111	73.56805556	1922	Krishna	Indrayani	Maval	III	Other	59.44	741	212000	363700000	124320	352640000	H	546
1540	MH09HH1554	NIRADEVGHAR	18.10333333	73.72138889	2008	Krishna	Nira	Bhor	IV	Earthfill_Embankment	58.53	2330	99380	337390000	151800000	332126000	I/H	1852.00
382	MH09HH0384	UPPER VAITARANA	19.81527778	73.54277778	1973	West Flowing Rivers from Tapi to Tadri	vaitarna and alwandi	Igatpuri.	III	Other	41	2531	1520000	353960000	37130000	331310000	I/H	1440.00
648	MH09HH0655	DHOM	17.98138889	73.81722222	1977	Krishna	Krishna	Wai	IV	Other	50	2478.00	6335000	382320000	24980000	331050000	I/H	1178.00
225	MH09MH0227	ITIADOH DAM	20.80166667	80.16777778	1970	Godavari	gadvi	Morgaon	II	Earthfill_Embankment	29.85	541.5	911000	381590000	46910000	317870000	I/H	1653.73
1161	MH09HH1174	MAJALGAON	19.16055556	76.185	1987	Godavari	Sindphana	Majalgaon	II	Other	31.19	6488	13410000	453640000	78130000	311340000	I/H	14500.00
47	MH09HH0047	BHANDARDARA	19.54638889	73.7575	1926	Godavari	Paravara.	Akole	III	Other	82.35	2717.00	674000	312600000	743180	304100000	I/H	1503
2099	MH09HH2138	Bembla	20.58333333	78.10555556	2007	Godavari	Bembla	Babhulgaon	II	Earthfill_Embankment	35.80	297	3722940	322068000	89671000	302670000	I	17224
308	MH09HH0310	TANAJISAGAR (PANSHET)	18.37888889	73.61111111	1972	Krishna	Ambi	Velhe	III	Other	59.94	1039	4190000	310610000	15645000	301610000	I/S	1359
2189	MH09HH2228	Jigaon	20.94944444	76.37416667		Tapi	Purna	Nandura	II	Earthfill_Embankment	32.25	8240		736579000		297723000		28620
1048	MH09HH1060	MANIKDOH	19.23555556	73.81361111	2005	Krishna	Kukadi	Junnar	III	Other	50.36	930.00	596000	307910000	18434000	288100000	I/H	1439.00
1761	MH09HH1792	TALAMBA	16.04166667	73.89		West Flowing Rivers from Tapi to Tadri	Karli	Orosbudrukh	III	Earthfill_Embankment	58.35	3020	7343000	308750000	20773300	285630000	I	3404
1160	MH09HH1173	DHAMNI (SURYA)	19.92222222	73.05861111	1990	West Flowing Rivers from Tapi to Tadri	Surya	Jawhar	III	Other	58.08	623	1270000	285310000	17760000	276350000	I	2696.00
10	MH09LH0010	RANKALA	16.68666667	74.21416667	1883	Krishna	Local Nala	Kolhapur	IV	Other	15	3620	162800	435014000	1052000	274604000	I	116.50
309	MH09HH0311	PAWANA	18.68055556	73.49416667	1972	Krishna	Pawana	Maval	III	Other	42.37	1329	1989000	305490000	2365000	274320000	HS	1250.00
1580	MH09HH1594	URMODI	17.66583333	73.90722222	2010	Krishna	Urmodi	Satara	IV	Earthfill_Embankment	50.1	1860	10246200	282140000	17598000	273270000	I/H	2407.00
1129	MH09HH1141	KANHER	17.73805556	73.91583333	1986	Krishna	Vena	Satara	IV	Other	50.34	1955.00	6308000	286000000	18600	271680000	I/H	1778.00
116	MH09HH0116	Veer	18.12222222	74.09555556	1965	Krishna	Nira	Khandala.	III	Earthfill_Embankment	35.81	3629	10550000	287490000	31310000	266000000	I/H	5154
937	MH09MH0948	HATNUR	21.07277778	75.94583333	1982	Tapi	Hatnur	Bhusawal	III	Other	25.5	2580	3850000	388000000	48160000	255000000	I	26415.00
1727	MH09LH1750	WAGHUR	20.92055556	75.71055556	2012	Tapi	Waghur	Bhusawal	II	Other	39.5	1080	70000	325000000	49810000	248210000	I/H	16061
2050	MH09MH2089	Lower Dudhana	19.53222222	76.39166667	2010	Godavari	Dudhana	Selu	II	Earthfill_Embankment	28.60	7020	5434000	344800000	69440000	242200000	I	7844
1903	MH09HH1942	Nilwande	19.54722222	73.90222222	2010	Godavari	Pravara	Akole	III	Earthfill_Embankment	74.50	533	110448	236000000	7950000	232180000	I	3700
1775	MH09MH1809	HUMAN	20.3075	79.53916667		Godavari	Human	Shindewahi	II	Earthfill_Embankment	28.05	3217	2448000	247000000	61730000	227750000	I	9242.00
67	MH09HH0067	RADHANAGARI	16.40777778	73.96055556	1954	Krishna	Bhogawati	Radhanagari	III	Other	38.41	1036.58	236800	236790000	110800	219970000	I/H	283
1545	MH09HH1559	BHAMA ASAKHED	18.83527778	73.72361111	2000	Krishna	Bhama	Khed	III	Earthfill_Embankment	51.13	1425	6183000	230473000	21630000	217100000	I/H	3432
1769	MH09MH1802	TULTULI	20.36166667	80.23805556		Godavari	Khobragudi	Amori	II	Earthfill_Embankment	21.59	5280	2745000	225051000	50920000	216948000	I	3460.00
1777	MH09MH1811	LOWER WARDHA	20.87833333	78.25944444	2009	Godavari	Wardha.	Tivasa	II	Earthfill_Embankment	27.8	9464	2639000	253340000	54654000	216870000	I	20788.00
1508	MH09HH1522	CHASKAMAN	18.96111111	73.78472222	1999	Krishna	Bhima	Khed	III	Other	46.28	956	2903000	241690000	18900000	214500000	I/H	3962.00
1366	MH09MH1380	MUKANE	19.81638889	73.65277778	2006	Godavari	Aaundha	Igatpuri	III	Other	21.03	1530	8775000	214160000	31440000	204980000	I	1968.00
37	MH09MH0037	DARNA	19.80472222	73.74083333	1916	Godavari	Darna	Igatpuri	III	Other	28	1633.4	1886100	202420000	34750000	202420000	I/H	3336
1773	MH09MH1807	SAPALI (UPPER PENGANGA)	19.56111111	77.37138889		Godavari	Kayadhu	Kalamnuri	II	Earthfill_Embankment	20.8	3130	7235000	241000000	51380000	199000000	I	7080
41	MH09HH0041	SHIRVATA	18.81111111	73.47888889	1920	Krishna	Indrayani	Maval	III	Other	38.71	2212	460000	198150000	28500	197280000	H	593
1813	MH09VH1852	Middle Vaitarna	19.70555556	73.43388889	2012	West Flowing Rivers from Tapi to Tadri	Vaitarna	Mal	III	Earthfill_Embankment	102.40	565	1604000	202100000	6400000	193530000	S	6348
998	MH09HH1010	ERAI	20.11972222	79.26583333	1983	Godavari	Erai	Bhadravati	II	Earthfill_Embankment	30	1620	985000	226500000	58000000	193000000	HS	2610.00
935	MH09MH0946	MANJARA	18.91833333	76.25166667	1982	Godavari	Manjara	Kalakam	III	Other	25	4203	2213000	224093000	47175000	176963000	I	6000.00
68	MH09HH0068	LOWER VAITARNA / MODAKSAGAR	19.67027778	73.29111111	1954	West Flowing Rivers from Tapi to Tadri	Vaitarna	Shahapur	III	Other	82	567.07	566000	204980000	8540000	174790000	S	5660
20	MH09HH0020	TANSA	19.55194444	73.26	1892	West Flowing Rivers from Tapi to Tadri	Tansa	Shahapur	III	Other	41	2804	2670000	184600000	19150000	172520000	S	1188.60
1329	MH09MH1343	ARUNAWATI	20.11944444	77.79666667	1994	Godavari	Arunawati	Digras	II	Other	29.58	5170	4412000	198395000	39290000	169675000	I	8525.00
1652	MH09HH1666	TARALI	17.53333333	73.89805556	2006	Krishna	Tarali	Patan	IV	Other	73.41	1096	2072000	165710000	5647700	165460000	I/H	1721.03
226	MH09MH0228	SIRPUR	21.05805556	80.45083333	1970	Godavari	Bagh	Deori	II	Earthfill_Embankment	24.69	2948.94	1195000	171100000	32970000	159780000	I	2634
113	MH09HH0113	GANGAPUR	20.03666667	73.67888889	1965	Godavari	Godavari	Nashik	III	Earthfill_Embankment	36.59	3902	4612000	160100000	22310000	159420000	I/H	2293
117	MH09MH0117	GHOD	18.67916667	74.49583333	1965	Krishna	Ghod	Shrigonda	III	Earthfill_Embankment	29.06	3300	1020000	216300000	30922000	154800000	I	7419
450	MH09HH0454	KARANJWAN	20.3	73.76666667	1974	Godavari	Kadwa	Dindori.	III	Earthfill_Embankment	39.31	2483.00	1960000	161430000	18400000	152090000	I/H	1585
1537	MH09HH1551	HETWANE	18.71916667	73.18111111	2000	West Flowing Rivers from Tapi to Tadri	Bhogeshwari	Pen	III	Earthfill_Embankment	52.2	675	144980	147490000	6740000	144980000	I/H	1084
589	MH09HH0596	KAMTHIKHAIRY (PENCH)	21.46166667	79.19083333	1976	Godavari	Pench.	Parseoni	II	Earthfill_Embankment	32	2248	4928000	180980000	23653000	141980000	I	8400
169	MH09MH0170	MANAR	18.83111111	77.31083333	1968	Godavari	Manar	Kandahar	II	Earthfill_Embankment	27	2592.00	1557000	146920000	2559000	138210000	I	8778
1432	MH09MH1446	LOWER WUNNA (WADGAON)	20.82527778	79.05194444	1997	Godavari	Wunna	Umred	II	Earthfill_Embankment	23.65	5330	2998000	151496000	36138000	134896000	I	10877.00
115	MH09HH0115	BOR	20.96138889	78.70361111	1965	Godavari	Bor	Selu	II	Earthfill_Embankment	36.28	1158	2474000	138740000	13506000	127420000	I	3058
1828	MH09HH1867	Balganga River Project	18.80444444	73.12805556		West Flowing Rivers from Tapi to Tadri	Balganga	Pen	III	Earthfill_Embankment	40.15	1886	3500000	144168000	12400000	120070000		121.40
1763	MH09HH1794	MAHAMADWADI	16.20361111	73.88472222		West Flowing Rivers from Tapi to Tadri	Gad	Kankavali	IV	Earthfill_Embankment	66.43	1790	15900000	123740000	5530000	119162000	I/H	1504.00
2047	MH09MH2086	Jalchakra	20.87611111	75.93444444		Tapi	Local Nalla	Bodwad	III	Earthfill_Embankment	27.83	1651.40	160000	145150000	26910000	118320000		15023
1651	MH09HH1665	DHOM BALAKWADI	17.95388889	73.70972222	2006	Krishna	Krishna	Wai	IV	Earthfill_Embankment	65.1	1211	1155400	115530000	4156900	112130000	I/H	1758
1506	MH09MH1520	PIMPALGAON JOGE	19.31555556	73.88083333	2001	Krishna	Pushpawati	Junnar	III	Earthfill_Embankment	28.5	1560	2010000	235340000	24800000	110150000	I	1943.00
1688	MH09LH1704	MANGRUL	17.93972222	76.1	1997	Tapi	Bhokar	Raver	III	Earthfill_Embankment	33.07	532	606000	119000000	401000	110000000	I	1238
1530	MH09HH1544	TEMGHAR	18.4525	73.54027778	2000	Krishna	Mutha	Pune	III	Other	42.5	1075	1188000	107960000	5656500	105010000	I/H	626.5
1229	MH09HH1242	PATGAON	16.12472222	73.9475	1990	Krishna	Vedganga	Bhudargad	III	Earthfill_Embankment	39.19	1101.5	6802000	105242000	10700200	104770000	I/H	499.71
1538	MH09HH1552	GUNJWANI	18.30111111	73.62277778	2000	Krishna	Kanand	Velhe	III	Other	52.82	1730	6871000	104690000	8486000	104480000	I	1175.00
33	MH09MH0033	RAMTEK	21.38083333	79.37805556	1913	Godavari	Sur	Ramtek	II	Earthfill_Embankment	22.19	229.2	1300000	105130000	21270000	103000000	I	514.35
1634	MH09HH1648	DEOGAD	16.42722222	73.8	2005	West Flowing Rivers from Tapi to Tadri	Kurli Nala	Kankauli marg	III	Earthfill_Embankment	54.68	1784	6200000	100428000	6120000	98020000	I/H	2078.00
1820	MH09HH1859	Deharji	19.63333333	73.13333333		West Flowing Rivers from Tapi to Tadri	Deharji	Vikramgad	IV	Earthfill_Embankment	66.82	2254	2992000	95600000	6450000	95600000		930.95
2098	MH09HH2137	Khadakpurna	20.15555556	76.07611111	2008	Godavari	Purna	Deulgaon Raja	II	Earthfill_Embankment	32.25	2160	1423090	160606000	29276000	93400000	I	18047
1844	MH09HH1883	Sarambala	15.87277778	73.93055556		West Flowing Rivers from Tapi to Tadri	Terekhol	Sawantwadi	III	Earthfill_Embankment	69.24	750	822448	96260000	3396600	93396000		910.948
1841	MH09HH1880	Aruna	16.59472222	73.78888889		West Flowing Rivers from Tapi to Tadri	Aruna	Vaibhavwadi	III	Earthfill_Embankment	80.41	1240	978810	93378000	3850000	92020000		616.19
266	MH09HH0268	UPPER PUS (PUS)	19.99777778	77.45944444	1971	Godavari	Pus	Pusad	II	Earthfill_Embankment	43.29	744	1980000	113920000	8953000	91260000	I	3013
1215	MH09MH1228	LOWER TERNA (MAKNI)	18.02861111	76.42972222	1989	Godavari	Tirna	Omerga	III	Other	25.6	3910	1174000	121188000	28110000	91221000	I	10700.00
1793	MH09LH1832	JAWAK	18.25	75.41666667	1986	Krishna	Khari	Jamkhed	III	Earthfill_Embankment	11.57	700	150000	102500000	420000	90200000	I	298.19
1764	MH09HH1795	LOWER PANZARA (AKKALPADA)	20.9425	74.45305556	2012	Tapi	Panzara	Sakri	III	Other	31.81	3266	1114000	109310000	14053700	88820000	I	1791
2042	MH09MH2081	Karchundi	18.89277778	75.69833333	2007	Godavari	Local Nalla	Beed	III	Earthfill_Embankment	20.75	485	735500	102440000	430000	87080000	I	552
451	MH09MH0455	KATEPURNA	20.48	77.15472222	1974	Tapi	Katepurna	Barshi Takali	II	Earthfill_Embankment	29.5	2000	693000	97670000	12430000	86350000	I	2783.00
1829	MH09HH1868	Kal Hydro Electrict Project	18.25222222	73.45027778		West Flowing Rivers from Tapi to Tadri	Local Nala	Mahad	III	Earthfill_Embankment	53	746	3400000	94484000	449100	85770000		2486.12
1059	MH09MH1071	TILLARI (FOREBAY)	15.80722222	74.18361111	1985	West Flowing Rivers from Tapi to Tadri	Kharani Nalla	Chandgad	III	Earthfill_Embankment	22.74	350	52000	106650000	299640	85410000	H	147.00
1122	MH09HH1134	TILLARI (MAIN)	15.78888889	74.30194444	1986	West Flowing Rivers from Tapi to Tadri	Tilari	Chandgad	III	Other	38.05	485	250000	106650000	9010000	85410000	I/H	1028.00
1753	MH09HH1783	GOD RIVER MEDIUM PROJ.	17.275	73.61388889	2009	West Flowing Rivers from Tapi to Tadri	Gadnadi	Sangneshwar	IV	Earthfill_Embankment	71.38	616	230000	832120000	3506000	82900000	I	1563.00
1608	MH09HH1622	ANDRA VALLEY	18.78527778	73.64805556	2003	Krishna	Andra	Maval	III	Earthfill_Embankment	40.45	330	207860	83310000	7421000	82750000	I	3021.00
1546	MH09HH1560	WAN	21.18555556	76.77361111	2000	Tapi	Wan	Sangmner	III	Other	67.65	795	599000	83465000	4391000	81955000	I/H/S	3874.00
171	MH09HH0172	SIDDHESHWAR	19.59027778	76.95833333	1968	Godavari	Purna	Jintur	II	Earthfill_Embankment	38.26	6658	907200	250850000	33540000	80960000	I	10790
1974	MH09HH2013	Varangaon Talwel	20.98861111	75.95972222		Tapi	Tapi	Bhusawal	III	Earthfill_Embankment	47.99	5355	5912000	85866000	6950000	79810000		0.50
1232	MH09HH1245	KASARI	16.85555556	73.79333333	1990	Krishna	Kasari river	Shahuwadi	III	Earthfill_Embankment	44.24	297	97000	78565000	534000	77965000	I	680
1894	MH09HH1933	Wang	17.23333333	73.93333333		Krishna	Local Nalla	Patan.	IV	Earthfill_Embankment	50.63	1255.5	5004000	77290000	5300000	77060000		3004
1657	MH09HH1671	KUMBHI	16.52555556	73.8575	2007	Krishna	Kumbhi	Gaganbawada	III	Earthfill_Embankment	42.58	906	2027000	768800000	5027400	76496000	I/H	416.10
1659	MH09HH1673	SINA KOLEGAON	18.31638889	75.39861111	2007	Krishna	Sina	Karmala	III	Earthfill_Embankment	26.1	1770	234000	150430000	32500000	76180000	I	7689
1772	MH09HH1806	UPPER MANAR	18.83027778	77.3125	2004	Godavari	Manyad	Kardhar	II	Earthfill_Embankment	36.6	1252.00	688000	107990000	3245000	75710000	I	5774.00
1816	MH09HH1855	Arjuna	16.72944444	73.77888889	2012	West Flowing Rivers from Tapi to Tadri	Arjuna	Rajapur	III	Earthfill_Embankment	67.9	1250	13119000	74670000	3019600	72560000	I/H	1505.51
1975	MH09HH2014	Islampur (Kurha Vadhoda)	20.03472222	76.39055556		Tapi	Purna	Jalgaon	III	Earthfill_Embankment	40.50	6210	7769000	77690000	5300000	71631000		374
36	MH09MH0036	WALWAN	18.765	73.42416667	1916	Krishna	Indrayani	Maval	III	Other	26.36	1356	182000	72120000	14250000	71180000	H	171
1908	MH09HH1947	Waki (Igatpuri)	19.75638889	73.58861111	2012	Godavari	Waki Nalla	Igatpuri	III	Earthfill_Embankment	34.825	1081	618000	75800000	7203000	70570800	I	618
1527	MH09HH1541	KADAVI	17.00638889	73.86833333	2000	Krishna	Potphuji	Shahuwadi	IV	Earthfill_Embankment	36.05	1519	2550000	71220000	4730000	70560000	I	603.63
1737	MH09HH1761	BHAM	19.65916667	73.64638889		Godavari	Bham	Igatpuri	III	Other	33.97	3220	45610	75420000	4980000	69760000	I	1410.00
152	MH09MH0152	NALGANGA	20.73194444	76.18666667	1967	Tapi	Nalganga	Motala	II	Earthfill_Embankment	29.8	2516	1500000	71860000	10980000	69320000	I	2158
28	MH09HH0028	CHANKAPUR	20.49888889	73.89361111	1911	Tapi	Girna	Kalvan	III	Earthfill_Embankment	39.01	3705	2123000	79960000	10316000	68720000	I	2237
1825	MH09HH1864	Mumari (Part of Bhatsa dam)	19.51444444	73.41777778		West Flowing Rivers from Tapi to Tadri	Bhatsa and Chorna	Shahapur	III	Earthfill_Embankment	49.96	1240	5241640	72500000	4950000	68600000		1630
447	MH09MH0451	DINA	19.75638889	80.11861111	1974	Godavari	Dina	Chamursi	II	Earthfill_Embankment	21.49	3137	957000	72750000	13765000	67540000	I	1671.00
653	MH09HH0660	ADAN	20.40972222	77.56305556	1977	Godavari	Aran	Manora	II	Other	30.29	755	1428000	78320000	10520000	67250000	I	4623.00
789	MH09HH0797	WAGHAD	20.23222222	73.72833333	1979	Godavari	kalwan	Dindori	III	Earthfill_Embankment	45.6	952	1783000	67720000	950000	65180000	I	910
1779	MH09MH1814	SULWADE BARRAGE	21.30277778	74.80138889	2009	Tapi	Tapi	Sindkheda	III	Other	29	4725	67410	65060000	12400000	65050000	I	49224.00
1131	MH09HH1143	DHAM	20.95638889	78.46111111	1986	Godavari	Dham	Arvi	II	Earthfill_Embankment	33.55	1728	2737000	72450000	12410000	62500000	I	5416.60
1776	MH09HH1810	PRAKASHA BARRAGE	21.51194444	74.34555556	2009	Tapi	Tapi	Shahada	III	Other	27.35	503	985990	63640000	11734000	62110000	I	50517.00
7	MH09MH0007	EKRUKH	17.73833333	75.90916667	1871	Krishna	adila	Solapur	III	Earthfill_Embankment	21.45	2360	130000	61160000	18425100	61160000	I	1239
932	MH09HH0943	OZARKHED	20.27777778	73.865	1982	Godavari	Unanda	Dindori.	III	Earthfill_Embankment	35.3	3266	2052000	67960000	78100000	60320000	I	1610
1610	MH09MH1624	PENTAKALI	20.27055556	76.47361111	2003	Godavari	Penganga	Mehkar	II	Earthfill_Embankment	23.615	990	694350	67355000	12870000	59976000	I/H	6476.00
1000	MH09MH1012	LOWER PUS	19.81833333	77.68	1983	Godavari	Pus	Mahagaon	II	Earthfill_Embankment	28	3346	6167000	81160000	15890000	59630000	I	5437.00
2123	MH09MH2162	Pandhari	21.36527778	77.55111111		Tapi	Wardha	Wardha	III	Earthfill_Embankment	25.10	3443	11625000	62380000	7540000	56410000		1539
1240	MH09MH1253	LOWER WUNNA (NAND)	20.72638889	79.11666667	1990	Godavari	Nand	Umred	II	Earthfill_Embankment	16.25	2513	1833000	62182000	21642000	53182000	I	5238.00
733	MH09HH0741	ANER	21.31027778	75.13805556	1980	Tapi	Aner	Shirpur	III	Earthfill_Embankment	47	2275.00	3162000	99600000	793000	52900000	I	4317.00
1749	MH09HH1778	GODAVARI	19.97777778	73.63666667	2008	Godavari	Godavari	Trambak	III	Earthfill_Embankment	59.37	869	4813000	53218000	1928000	52900000	I	1808.00
1572	MH09HH1586	CHITRI	16.07027778	74.16	2001	Krishna	Chitri	Ajara	III	Earthfill_Embankment	55.1	1569	2606000	53414000	2931000	52480000	I	571.00
1465	MH09HH1479	KASHYPI	20.06944444	73.60666667	2005	Godavari	Kashyapi	Nashik	III	Earthfill_Embankment	41.75	1380	2761000	52698000	4360000	52430000	I	799
40	MH09MH0040	ASOLAMENDHA	20.22222222	79.81833333	1918	Godavari	pathari	Sindewahi	II	Earthfill_Embankment	18.08	1376.52	350000	62970000	18800000	52330000	I	758
1130	MH09MH1142	SINA	18.8275	74.9475	1986	Krishna	Sina	Karjat	III	Earthfill_Embankment	28.5	1580.00	681500	68160000	12834000	52300000	I	4450.00
2185	MH09HH2224	Lower Pedhi	20.92972222	77.62805556		Tapi	Local Nalla	Bhatkuli	II	Earthfill_Embankment	37.65	8495.50		75260000	25320000	51100000		9218.71
1430	MH09HH1444	KADWA	19.76777778	73.7925	1997	Godavari	Kadwa	Igatpuri	III	Earthfill_Embankment	31.84	1660	1245000	54470000	5874000	47790000	I/H	2821.00
1832	MH09HH1871	Sambar Kund Medium Project	19.51277778	73.05611111		West Flowing Rivers from Tapi to Tadri	Sambar	Alibag	IV	Earthfill_Embankment	33.78	730.55	172966	49850000	3662600	47470000		1500
1834	MH09HH1873	Jamada Medium Irri. Project	17.68333333	73.68333333		Krishna	Waghotan	Rajapur	IV	Earthfill_Embankment	57.34	329	504432	49970000	1868000	47030000		861
17	MH09MH0017	MHASWAD	17.58722222	74.86722222	1887	Krishna	Man	Man	III	Earthfill_Embankment	24.32	2473	47910000	47910000	16251000	46210000	I	4321.41
1239	MH09HH1252	SHAHANOOR	21.4775	77.09861111	1990	Tapi	Shahanoor	Achalpur	III	Earthfill_Embankment	56.45	828	3446000	47850000	2970000	46040000	I/S	2406.00
713	MH09MH0721	MATOBA	18.51361111	74.29611111	1978	Krishna	MulaMutha	Daund	III	Earthfill_Embankment	17.5	1662	45600	45520000	1900000	45170000	I	476.00
1845	MH09HH1884	Shirshinge	16.02444444	73.96166667		West Flowing Rivers from Tapi to Tadri	Terekhol	Sawantwadi	IV	Earthfill_Embankment	57.75	1031	5188530	46920000	1760000	44386000		803.37
2212	MH09HH2251	Dhapewada Barrage	21.54111111	80.07111111	2013	Godavari	Wainganga	Tirora	II	Earthfill_Embankment	33.39	345		44050000		44050000	I	16124
1861	MH09HH1900	Ghatprabha (Phatakwadi)	15.94166667	74.07194444	2009	Krishna	Ghataprabha	Chandgad	III	Earthfill_Embankment	48.30	1088	2200000	43760000	2510000	43610000	I	1452
227	MH09MH0229	PUJARITOLA	21.23805556	80.43722222	1970	Godavari	Bagh	Salekasa	II	Earthfill_Embankment	19.2	3209.55	664000	58450000	17650000	43530000	I	3774.63
45	MH09MH0045	GHORAZARI	20.53944444	79.64166667	1923	Godavari	Ghorazari	Nagbhir	II	Earthfill_Embankment	23.55	731.1	90000	50243000	9760000	43163000	I	320
1568	MH09HH1582	CHIKOTRA	16.23	74.19833333	2001	Krishna	Chikotra	Bhudargarh	III	Earthfill_Embankment	64.8	983	5109000	43115000	2970000	43051000	I/H	393
894	MH09MH0904	GOKI	20.28527778	77.90638889	1981	Godavari	Goki	Ner	II	Other	23.06	1572	658000	50220000	11360000	42710000	I/S	2066.00
1658	MH09HH1672	ARALAKALMODI	19	73.67194444	2008	Krishna	Arala	Khed	III	Earthfill_Embankment	36.8	295	139280	42870000	1120000	42670000	I/H	657.28
264	MH09MH0266	MORNA	20.42083333	76.99583333	1971	Tapi	morana	Patur	II	Earthfill_Embankment	28.65	600	1109000	44740000	4930000	41460000	I	1631.00
1768	MH09HH1801	CHANDRABHAGA	21.33611111	77.3925	2005	Tapi	Chandrabhaga	Achalpur	III	Earthfill_Embankment	44.7	1573	2952000	41427000	3262000	41248000	I/H/S	2476.00
1758	MH09HH1789	BHAVALI	19.64305556	73.58861111	2009	Godavari	Darana	Igatpuri	III	Other	32.49	1215	329000	44750000	2565000	40791000	I	662
385	MH09HH0387	MANYAD	20.48	74.79166667	1973	Tapi	Manyad	Chalisgaon	III	Other	32.5	1677	896500	53950000	8710000	40270000	I	3755.00
