Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
1358	MH09MH1372	BILLUR (ARWALI)	16.93694444	75.15694444	1995	Krishna	Local Nalla	Jath	III	Earthfill_Embankment	16.25	621.00	189000	2070000	65000	1750000	I	634.00
1474	MH09MH1488	SHELDI	17.63805556	73.53	1998	West Flowing Rivers from Tapi to Tadri	Hadawedi Nalla	Khed	IV	Earthfill_Embankment	19.5	400	202000	1807000	250000	1749000	I	1741
660	MH09MH0667	NILELI	16.03888889	73.84666667	1978	West Flowing Rivers from Tapi to Tadri	Local Nala	Orosbudrukh	III	Earthfill_Embankment	22.38	260	143000	1843000	1000000	1747000	I	82.8
2064	MH09LH2103	Jarud	18.23638889	75.76361111		Krishna	Local Nala	Bid	III	Earthfill_Embankment	13.15	780	132470	1940000	550000	1744000		259
62	MH09LH0062	TARANGAWADI	18.0875	74.99916667	1953	Krishna	Local Nalla	Indapur	III	Earthfill_Embankment	14.3	593.00	742000	1760000	489000	1740000	I	326
1031	MH09MH1043	PATHAVE	20.68055556	74.005	1984	Tapi	Hatti	Baglan	III	Earthfill_Embankment	17	405	345000	1870000	242050	1740000	I	235.00
1910	MH09MH1949	Shahane	21.6025	74.75222222	1999	Tapi	Local Nalla	Shahada	III	Earthfill_Embankment	16.20	540	264000	1880000	130000	1740000	I	253
285	MH09MH0287	MANYARWADI	19.00416667	75.93138889	1972	Godavari	Sindphana	Beed	II	Earthfill_Embankment	15.35	953	165000	1897000	640000	1735000	I	263
1667	MH09MH1681	AUTAD	19.25	76.26666667		Godavari	Local Nalla	Kalyan	III	Earthfill_Embankment	28.9	521.00	335750	2232780	330000	1733970	I	44.80
509	MH09MH0515	BUDAKI	21.52055556	74.91611111	1975	Tapi	Ambad	Shirpur	III	Earthfill_Embankment	15.18	1349.00	1730000	2150000	68000	1730000	I	643.00
750	MH09MH0758	AMBEGAON	18.43916667	73.84305556	1979	Krishna	Vadgaonnalla	Haveli	III	Earthfill_Embankment	21.78	575	159000	1930000	272000	1730000	I/S	230.00
1488	MH09MH1502	KHADAKOHOL	15.89305556	74.27138889	1999	Krishna	Local Nalla	Chandgad	III	Earthfill_Embankment	24.42	630	330000	1830000	39000	1730000	I	157.50
2163	MH09LH2202	Bodegaon	20.29944444	75.97916667	1996	Godavari	Local Nalla	Buldana	III	Earthfill_Embankment	14.55	845		1850000	12430	1730000	I	200
2171	MH09LH2210	Lanjud	20.0125	76.5	1994	Tapi	Local Nalla	Khamgaon	II	Earthfill_Embankment	12.55	215		1910000		1730000	I	330
965	MH09LH0977	CHIKKEHALLI	17.50805556	76.30527778	1983	Krishna	Local Nalla	Akkalkot	II	Earthfill_Embankment	11.15	608	18000	1896600	757100	1727000	I	327.00
738	MH09MH0746	AMBOLI	15.99694444	74.04416667	1979	Krishna	Local Nalla	Sawantwadi	III	Earthfill_Embankment	27	390	124000	1785000	1240000	1726000	I	96.57
1595	MH09MH1609	ARJUNWADI	17.30305556	74.8275	2002	Krishna	Local Nalla	Atpadi	III	Earthfill_Embankment	17.52	459	468000	2352000	588700	1725000	I	739.00
244	MH09LH0246	SENDURSENA	19.47	77.13805556	1971	Godavari	Sendursena	Basmath	II	Earthfill_Embankment	12.04	1518	180340	1884000	791600	1724000	I	273
1268	MH09MH1281	TITHAWALI	16.57055556	73.68444444	1992	West Flowing Rivers from Tapi to Tadri	Local Nala	Vaibhavwadi	III	Earthfill_Embankment	18.1	225	107000	1733000	1210000	1723000	I	34.17
274	MH09LH0276	PARADSINGA	21.29666667	78.4925	1972	Godavari	Local Nalla	Narkhed	II	Earthfill_Embankment	14.07	1040	0	1880000	73690	1721000	I	200.00
2109	MH09MH2148	Bramha	20.04722222	77.24527778	2012	Godavari	Local Nalla	Washim	II	Earthfill_Embankment	18.84	740	236780	1872000		1721000	I	115.13
1581	MH09MH1595	CHANDOLI	16.96416667	73.84916667	2001	Krishna	Local Nalla	Shahuwadi	IV	Earthfill_Embankment	22.66	313	1762690	1762000	302240	1720000	I/H	823.00
